单元	序号	课文	页码
第一单元·识字			
	1	春夏秋冬	2
	2	姓氏歌	4
	3	小青蛙	6
	4	猜字谜	8
	◎	语文园地一	10
	◎	快乐读书吧 读读童谣和儿歌	15
			
第二单元·阅读			
	1	热爱中国共产党	16
	2	吃水不忘挖井人	18
	3	我多想去看看	20
	◎	语文园地二	22
			
第三单元·阅读			
	4	小公鸡和小鸭子	26
	5	树和喜鹊	29
	6	怎么都快乐	31
	◎	语文园地三	34
			
第四单元·阅读			
	7	静夜思	39
	8	夜色	40
	9	端午粽	42
	◎	语文园地四	44
			
第五单元·识字			
	5	动物儿歌	48
	6	古对今	50
	7	操场上	52
	8	人之初	54
	◎	语文园地五	56
			
第六单元·阅读			
	10	古诗二首	61
		池上	61
		小池	62
	11	浪花	64
	12	荷叶圆圆	66
	13	要下雨了	69
	◎	语文园地六	73
			
第七单元·阅读			
	14	文具的家	78
	15	一分钟	81
	16	动物王国开大会	84
	17	小猴子下山	90
	◎	语文园地七	93
			
第八单元·阅读			
	18	棉花姑娘	98
	19	咕咚	102
	20	小壁虎借尾巴	105
	◎	语文园地八	109
			
识字表			114
写字表			117
常用偏旁名称表			120
