单元	序号	课文	作者	页码
第一单元				1
	1	（古文三篇）		
		子路、曾皙、冉有、公西华侍坐	《论语》	2
		※ 齐桓晋文之事	《孟子》	4
		庖丁解牛	《庄子》	8
	2	烛之武退秦师	《左传》	10
	3	※ 鸿门宴	司马迁	13
	单元学习任务			18
				
第二单元				21
	4	窦娥冤（节选）	关汉卿	22
	5	雷雨（节选）	曹禺	26
	6	※ 哈姆莱特（节选）	莎士比亚	37
	单元学习任务			43
				
第三单元				45
	7	（科普文章两篇）		
		青蒿素：人类征服疾病的一小步	屠呦呦	46
		※ 一名物理学家的教育历程	加来道雄	50
	8	※ 中国建筑的特征	梁思成	55
	9	说“木叶”	林庚	61
	单元学习任务			67
				
第四单元		信息时代的语文生活		69
	学习活动			
		一 认识多媒介		70
		二 善用多媒介		71
		三 辨识媒介信息		71
	学习资料			
		1. 不同媒介的语言特征与网络语言的发展		72
		2. 传播媒介变迁的社会影响		75
		3. 涵养媒介素质，才有最美和声		77
				
第五单元				
	10	（马克思相关文章两篇）		
		在《人民报》创刊纪念会上的演说	马克思	80
		在马克思墓前的讲话	恩格斯	82
	11	（书信两封）		
		谏逐客书	李斯	85
		※ 与妻书	林觉民	87
	单元学习任务			91
				
第六单元				93
	12	祝福	鲁迅	94
	13	（中外小说两篇一）		
		林教头风雪山神庙	施耐庵	107
		※ 装在套子里的人	契诃夫	113
	14	（中外小说两篇二）		
		促织	蒲松龄	119
		※ 变形记（节选）	卡夫卡	123
	单元学习任务			135
				
第七单元		整本书阅读		137
	《红楼梦》			138
				
第八单元				143
	15	（唐宋古文两篇一）		
		谏太宗十思疏	魏征	144
		※ 答司马谏议书	王安石	146
	16	（唐宋古文两篇二）		
		阿房宫赋	杜牧	148
		※ 六国论	苏洵	150
	单元学习任务			152
				
古诗词诵读				
		登岳阳楼	杜甫	155
		桂枝香·金陵怀古	王安石	155
		念奴娇·过洞庭	张孝祥	156
		游园（【皂罗袍】）	汤显祖	157
