序号,篇名,作者,2022年版（60篇/段）,2011年版（61篇/段）,2001年版（50篇/段）
1,关雎（关关雎鸠）,《诗经》,1,1,17
2,蒹葭（蒹葭苍苍）,《诗经》,2,2,18
3,十五从军征（十五从军征）,汉乐府,3,3, 
4,观沧海（东临碣石）,曹操,4,4,19
5,饮酒（结庐在人境）,陶潜,5,5,20
6,木兰辞（唧唧复唧唧）,北朝民歌,6,6, 
7,送杜少府之任蜀州（城阙辅三秦）,王勃,7,7,21
8,登幽州台歌（前不见古人）,陈子昂,8,8, 
9,次北固山下（客路青山外）,王湾,9,9,22
10,使至塞上（单车欲问边）,王维,10,10,23
11,闻王昌龄左迁龙标遥有此寄（杨花落尽子规啼）,李白,11,11,24
12,行路难（金樽清酒斗十千）,李白,12,12,25
13,黄鹤楼（昔人已乘黄鹤去）,崔颢,13,13, 
14,望岳（岱宗夫如何）,杜甫,14,14,26
15,春望（国破山河在）,杜甫,15,15,27
16,茅屋为秋风所破歌（八月秋高风怒号）,杜甫,16,16,28
17,白雪歌送武判官归京（北风卷地白草折）,岑参,17,17,29
18,酬乐天扬州初逢席上见赠（巴山楚水凄凉地）,刘禹锡,18,18,31
19,卖炭翁（卖炭翁）,白居易,19,19, 
20,钱塘湖春行（孤山寺北贾亭西）,白居易,20,20,33
21,雁门太守行（黑云压城城欲摧）,李贺,21,21,34
22,赤壁（折戟沉沙铁未销）,杜牧,22,22,35
23,泊秦淮（烟笼寒水月笼沙）,杜牧,23,23,36
24,夜雨寄北（君问归期未有期）,李商隐,24,24,37
25,无题（相见时难别亦难）,李商隐,25,25,38
26,相见欢（无言独上西楼）,李煜,26,26,39
27,渔家傲（塞下秋来风景异）,范仲淹,27,27,40
28,浣溪沙（一曲新词酒一杯）,晏殊,28,28,41
29,登飞来峰（飞来山上千寻塔）,王安石,29,29,42
30,江城子（老夫聊发少年狂）,苏轼,30,30,43
31,水调歌头（明月几时有）,苏轼,31,31,44
32,渔家傲（天接云涛连晓雾）,李清照,32,32, 
33,游山西村（莫笑农家腊酒浑）,陆游,33,33,45
34,南乡子（何处望神州）,辛弃疾,34,34, 
35,破阵子（醉里挑灯看剑）,辛弃疾,35,35,46
36,过零丁洋（辛苦遭逢起一经）,文天祥,36,36,47
37,天净沙·秋思（枯藤老树昏鸦）,马致远,37,37,48
38,山坡羊·潼关怀古（峰峦如聚）,张养浩,38,38,49
39,己亥杂诗（浩荡离愁白日斜）,龚自珍,39,39,50
40,满江红（小住京华）,秋瑾,40,40, 
-,早春呈水部张十八员外（天街小雨润如酥）,韩愈, , ,30
-,观刈麦（田家少闲月）,白居易, , ,32
41,《论语》十二章<br>（学而时习之；吾日三省吾身；吾十有五而志于学；温故而知新；学而不思则罔；贤哉回也；知之者不如好之者；不义而富且贵；三人行；子在川上曰；三军可夺帅也；博学而笃志）,《论语》,41,41,1（孔子语录）
42,曹刿论战,《左传》,42,42,4
43,《孟子》三则<br>（鱼我所欲也；得道多助，失道寡助；天将降大任于是人也）,《孟子》,43,43,2、3（鱼我所欲也；生于忧患，死于安乐）
44,《庄子》一则<br>（北冥有鱼……亦若是则已矣。）,《庄子》,44,44, 
45,《礼记》一则<br>（虽有嘉肴）,《礼记》,45,45, 
46,《吕氏春秋》一则<br>（伯牙鼓琴……世无足复为鼓琴者。）,《吕氏春秋》,46, , 
47,邹忌讽齐王纳谏,《战国策》,47,47,5
48,出师表,诸葛亮,48,48,6
49,桃花源记,陶潜,49,49,7
50,答谢中书书,陶弘景,50,50, 
51,三峡,郦道元,51,51,8
52,杂说（四）,韩愈,52,52,9
53,陋室铭,刘禹锡,53,53,10
54,小石潭记,柳宗元,54,54,11
55,岳阳楼记,范仲淹,55,55,12
56,醉翁亭记,欧阳修,56,56,13
57,爱莲说,周敦颐,57,57,14
58,记承天寺夜游,苏轼,58,58,15
59,送东阳马生序<br>（余幼时即嗜学……况才之过于余者乎？）,宋濂,59,59,16
60,湖心亭看雪,张岱,60,60, 
-,《列子》一则<br>（伯牙善鼓琴……吾于何逃声哉？）,《列子》, ,46, 
-,河中石兽,纪昀, ,61, 
