篇章,首句,作者
**文言文**, , 
大道之行也, ,《礼记》
富贵不能淫, ,《孟子》
愚公移山, ,《列子·汤问》
杞人忧天, ,《列子》
庄子与惠子游于濠梁之上, ,《庄子》
扁鹊见蔡桓公, ,《韩非子·喻老》
郑人买履, ,《韩非子·外储说左上》
穿井得一人, ,《吕氏春秋》
刻舟求剑, ,《吕氏春秋·察今》
晏子使楚, ,《晏子春秋》
公输, ,《墨子》
唐雎不辱使命, ,《战国策》
陈涉世家, ,司马迁
细柳营（周亚夫军细柳）, ,司马迁
订鬼, ,王充
强项令, ,《后汉书·酷吏传》
周公诫子, ,《韩诗外传》
诫子书, ,诸葛亮
与朱元思书, ,吴均
干将莫邪, ,干宝
咏雪, ,《世说新语》
陈太丘与友期行, ,《世说新语》
马说, ,韩愈
黔之驴, ,柳宗元
捕蛇者说, ,柳宗元
卖油翁, ,欧阳修
伤仲永, ,王安石
孙权劝学, ,《资治通鉴》
《梦溪笔谈》二则<br>（以虫治虫、梵天寺木塔）, ,沈括
活板, ,沈括
核舟记, ,魏学洢
满井游记, ,袁宏道
治水必躬亲, ,钱泳
狼, ,蒲松龄
山市, ,蒲松龄
口技, ,林嗣环
 , , 
**古诗词**, , 
式微,式微，式微,《诗经·邶风》
静女,静女其姝,《诗经·邶风》
子衿,青青子衿,《诗经·郑风》
渔父,屈原既放,《楚辞》
渡汉江,岭外音书断,宋之问
鸟鸣涧,人闲桂花落,王维
逢入京使,故园东望路漫漫,岑参
题破山寺后禅院,清晨入古寺,常建
望洞庭湖赠张丞相,八月湖水平,孟浩然
把酒问月,青天有月来几时,李白
送友人,青山横北郭,李白
陪侍郎叔游洞庭醉后（其三）,刬却君山好,李白
月下独酌（其一）,花间一壶酒,李白
石壕吏,暮投石壕村,杜甫
月夜,今夜鄜州月,杜甫
月夜忆舍弟,戍鼓断人行,杜甫
长沙过贾谊宅,三年谪宦此栖迟,刘长卿
逢雪宿芙蓉山主人,日暮苍山远,刘长卿
左迁至蓝关示侄孙湘,一封朝奏九重天,韩愈
渔翁,渔翁夜傍西岩宿,柳宗元
题李凝幽居,闲居少邻并,贾岛
李凭箜篌引,吴丝蜀桐张高秋,李贺
夜上受降城闻笛,回乐峰前沙似雪,李益
咸阳城东楼,一上高城万里愁,许浑
商山早行,晨起动征铎,温庭筠
渔家傲·秋思,塞下秋来风景异,范仲淹
临江仙·夜登小阁,忆昔午桥桥上饮,陈与义
卜算子·黄州定慧院寓居作,缺月挂疏桐,苏轼
定风波,莫听穿林打叶声,苏轼
水龙吟·次韵章质夫杨花词,似花还似非花,苏轼
行香子,树绕村庄,秦观
丑奴儿·书博山道中壁,少年不识愁滋味,辛弃疾
南乡子·登京口北固亭有怀,何处望神州,辛弃疾
破阵子·为陈同甫赋壮词以寄之,醉里挑灯看剑,辛弃疾
太常引·建康中秋夜为吕叔潜赋,一轮秋影转金波,辛弃疾
西江月·遣兴,醉里且贪欢笑,辛弃疾
卜算子·咏梅,驿外断桥边,陆游
南安军,梅花南北路,文天祥
别云间,三年羁旅客,夏完淳
山坡羊·骊山怀古,骊山四顾，阿房一炬,张养浩
朝天子·咏喇叭,喇叭，唢呐，曲儿小腔儿大,王磐
