篇章,首句,作者
**唐诗**, , 
感遇（其二）,兰若生春夏,陈子昂
蓟丘览古赠卢居士藏用·燕昭王,南登碣石坂,陈子昂
感遇（其一）,兰叶春葳蕤,张九龄
感遇（其七）,江南有丹橘,张九龄
滕王阁,滕王高阁临江渚,王勃
在狱咏蝉,西陆蝉声唱,骆宾王
从军行,烽火照西京,杨炯
古意,卢家少妇郁金堂,沈佺期
从军行（其二）,琵琶起舞换新生,王昌龄
燕歌行（并序）,汉家烟尘在东北,高适
走马川行，奉送封大夫出师西征,君不见走马川行雪海边,岑参
凉州馆中与诸判官夜集,弯弯月出挂城头,岑参
凉州词,黄河远上白云间,王之涣
古从军行,百日登山忘烽火,李颀
凉州词,葡萄美酒夜光杯,王翰
终南山,太乙近天都,王维
汉江临眺,楚塞三湘接,王维
送梓州李使君,万壑树参天,王维
夏日南亭怀辛大,山光忽西落,孟浩然
游精思观回王白云在后,出谷未停午,孟浩然
省试湘灵鼓瑟,善鼓云和瑟,钱起
夜上受降城闻笛,回乐峰前沙似雪,李益
没蕃故人,前年伐月支,张籍
十五夜望月,中庭地白树栖鸦,王建
将进酒,君不见黄河之水天上来,李白
梦游天姥吟留别,海客谈瀛洲,李白
登金陵凤凰台,凤凰台上凤凰游,李白
闻王昌龄左迁龙标遥有此寄,杨花落尽子规啼,李白
兵车行,车辚辚，马萧萧,杜甫
蜀相,丞相祠堂何处寻,杜甫
船下夔州郭宿，雨湿不得上岸，别王十二判官,依沙宿舸船,杜甫
秋兴（其一）,玉露凋伤枫树林,杜甫
山石,山石荦确行径微,韩愈
调张籍,李杜文章在,韩愈
听颖师弹琴,昵昵儿女语,韩愈
左迁至蓝关示侄孙湘,一封朝奏九重天,韩愈
游终南山,南山塞天地,孟郊
洛桥晚望,天津桥下冰初结,孟郊
忆江上吴处士,闽国扬帆去,贾岛
西塞山怀古,西晋楼船下益州,刘禹锡
秋词,自古逢秋悲寂寥,刘禹锡
登柳州城楼寄漳、汀、封、连四州,城上高楼接大荒,柳宗元
渔翁,渔翁夜傍西岩宿,柳宗元
秦中吟·买花,帝城春欲暮,白居易
杜陵叟,杜陵叟，杜陵居,白居易
琵琶引（并序）,浔阳江头夜送客,白居易
问刘十九,绿蚁新醅酒,白居易
田家词,牛吒吒，田确确,元稹
遣悲怀（其一）,谢公最小偏怜女,元稹
李凭箜篌引,吴丝蜀桐张高秋,李贺
浩歌,南吹山作平地,李贺
金铜仙人辞汉歌（并序）,茂陵刘郎秋风客,李贺
南园（其五）,男儿何不带吴钩,李贺
九日齐山登高,江涵秋影雁初飞,杜牧
寄扬州韩绰判官,青山隐隐水遥遥,杜牧
安定城楼,迢递高城百尺楼,李商隐
无题,相见时难别亦难,李商隐
锦瑟,锦瑟无端五十弦,李商隐
陇西行（其二）,誓扫匈奴不顾身,陈陶
商山早行,晨起动征铎,温庭筠
台城,江雨霏霏江草齐,韦庄
鹧鸪,暖戏烟芜锦翼齐,郑谷
 , , 
**唐宋词**, , 
菩萨蛮,小山重叠金明灭,温庭筠
菩萨蛮,人人尽说江南好,韦庄
鹊踏枝,谁道闲情抛掷久,冯延巳
浣溪沙,菡萏香销翠叶残,李璟
乌夜啼,林花谢了春红,李煜
浪淘沙令,帘外雨潺潺,李煜
破阵子,燕子来时新社,晏殊
踏莎行,候馆梅残,欧阳修
蝶恋花,庭院深深深几许,欧阳修
生查子,去年元夜时,欧阳修
苏幕遮,碧云天，黄叶地,范仲淹
天仙子,水调数声持酒听,张先
八声甘州,对潇潇、暮雨洒江天,柳永
望海潮,东南形胜，三吴都会,柳永
定风波,莫听穿林打叶声,苏轼
水龙吟,似花还似非花,苏轼
卜算子,缺月挂疏桐,苏轼
江城子·乙卯正月二十日夜记梦,十年生死两茫茫,苏轼
临江仙,梦后楼台高锁,晏几道
鹧鸪天,彩袖殷勤捧玉钟,晏几道
清平乐,春归何处,黄庭坚
踏莎行,雾失楼台,秦观
横塘路,凌波不过横塘路,贺铸
苏幕遮,燎沉香,周邦彦
兰陵王,柳阴直，烟里丝丝弄碧,周邦彦
如梦令,昨夜雨疏风骤,李清照
醉花阴,薄雾浓云愁永昼,李清照
武陵春,风住尘香花已尽,李清照
满江红,怒发冲冠,岳飞
卜算子,驿外断桥边,陆游
扬州慢,淮左名都，竹西佳处,姜夔
鬲溪梅令,好花不与滞香人,姜夔
菩萨蛮,郁孤台下清江水,辛弃疾
水龙吟·登建康赏心亭,楚天千里清秋,辛弃疾
青玉案,东风夜放花千树,辛弃疾
丑奴儿,少年不识愁滋味,辛弃疾
破阵子,醉里挑灯看剑,辛弃疾
