篇章,作者
**唐宋八大家**, 
祭十二郎文,韩愈
进学解,韩愈
柳子厚墓志铭,韩愈
送董邵南序,韩愈
送李愿归盘谷序,韩愈
圬者王承福传,韩愈
原毁,韩愈
杂说,韩愈
张中丞传后叙,韩愈
答韦中立论师道书,柳宗元
段太尉逸事状,柳宗元
钴鉧潭西小丘记,柳宗元
贺进士王参元失火书,柳宗元
始得西山宴游记,柳宗元
桐叶封弟辩,柳宗元
种树郭橐驼传,柳宗元
《伶官传》序,欧阳修
丰乐亭记,欧阳修
六一居士传,欧阳修
泷冈阡表,欧阳修
朋党论,欧阳修
秋声赋,欧阳修
墨池记,曾巩
越州赵公救灾记,曾巩
赠黎安二生序,曾巩
战国策目录序,曾巩
本朝百年无事札子,王安石
答司马谏议书,王安石
祭欧阳文忠公文,王安石
游褒禅山记,王安石
六国论,苏洵
名二子说,苏洵
木假山记,苏洵
方山子传,苏轼
放鹤亭记,苏轼
后赤壁赋,苏轼
教战守策,苏轼
留侯论,苏轼
日喻,苏轼
武昌九曲亭记,苏轼
黄州快哉亭记,苏辙
上枢密韩太尉书,苏辙
 , 
**《史记》**, 
太史公自序,司马迁
※报任安书（存目）,司马迁
夏本纪,司马迁
鲁周公世家,司马迁
※河渠书,司马迁
※六国年表,司马迁
高祖本纪,司马迁
※李将军列传,司马迁
※孔子世家,司马迁
管仲列传,司马迁
屈原列传,司马迁
项羽本纪,司马迁
※廉颇蔺相如列传,司马迁
※滑稽列传,司马迁
刺客列传,司马迁
※秦始皇本纪,司马迁
※赵世家,司马迁
魏公子列传,司马迁
淮阴候列传,司马迁
 , 
**更多**, 
匠石与栎社树,《庄子》
浑沌之死,《庄子》
鲁侯养鸟,《庄子》
原道训（节选）,《淮南子》
修务训（节选）,《淮南子》
与山巨源绝交书,嵇康
毛诗序,《毛诗正义》
明诗（节选）,刘勰
诗品序（节选）,锺嵘
原诗（节选）,叶燮
与元九书（节选）,白居易
《人间词话》十则,王国维
柳毅传,李朝威
滕王阁序,王勃
黄冈竹楼记,王禹偁
《山水训》五则,郭熙
麻叶洞天,徐霞客
东角楼街巷,孟元老
民俗,孟元老
灯市,刘侗、于奕正
柳敬亭传,黄宗羲
马伶传,侯方域
