編號,小學,中學
1,論語 - 論語四則,周易 - 天尊地卑<br>（節錄《周易‧繫辭上》第一章）
2,墨子 - 染絲,左傳 - 燭之武退秦師<br>（節錄《左傳》「晉侯秦伯圍鄭」至「亦去之」）
3,左傳 - 不貪為寶,論語 - 學而篇
4,孟子 - 揠苗助長,老子 - 道德經<br>（第三十三章、第六十四章、第八十一章）
5,孟子 - 二子學弈,孟子 - 魚我所欲也<br>（節錄《孟子‧告子上》「魚，我所欲也」至「此之謂失其本心」）
6,莊子 - 東施效顰,孟子 - 論四端<br>（節錄《孟子‧公孫丑上》『孟子曰：「人皆有不忍人之心」至「不足以事父母」』）
7,荀子 - 勸學（節錄）,莊子 - 庖丁解牛<br>（節錄《莊子．養生主》「吾生也有涯」至「得養生焉」）
8,韓非子 - 曾子殺豬,韓非子 - 說難
9,韓非子 - 買櫝還珠,荀子 - 勸學<br>（節錄《荀子‧勸學》「君子曰：學不可以已」至「用心躁也」）
10,管子 - 一年之計,列子 - 愚公移山<br>（節錄《列子‧湯問》「太形、王屋二山」至「漢之陰，無隴斷焉」）
11,列子 - 高山流水,尚書 - 周書．秦誓
12,列子 - 楊布打狗,禮記 - 大同與小康<br>（節錄《禮記‧禮運》「昔者，仲尼與於蜡賓」至「是謂『小康』」）
13,戰國策 - 三人成虎,禮記 - 大學<br>（節錄《禮記‧大學》「大學之道」至「未之有也」）
14,戰國策 - 鷸蚌相爭,禮記 - 中庸<br>（第一章及第十四章）
15,戰國策 - 鄒忌諷齊王納諫（節錄）,戰國策 - 蘇秦為趙合從說楚威王
16,禮記 - 苛政猛於虎,李斯 - 諫逐客書
17,大學 - 大學之道,司馬遷 - 屈原列傳<br>（節錄《史記．屈原賈生列傳》「屈原者，名平」至「雖與日月爭光，可也」）
18,中庸 - 在上位不陵下,李陵 - 答蘇武書
19,劉安 - 塞翁失馬,王粲 - 登樓賦
20,韓嬰 - 孟母戒子,諸葛亮 - 出師表
21,司馬遷 - 一嗚驚人,李密 - 陳情表
22,王充 - 孫叔敖埋兩頭蛇,王羲之 - 蘭亭集序
23,西京雜記 - 鑿壁偷光,陶潛 - 歸去來辭並序
24,王羲之 - 蘭亭集序（節錄）,陶潛 - 桃花源記
25,劉義慶 - 周處除三害,吳均 - 與宋元思書
26,劉義慶 - 望梅止渴,世說新語 - 謝太傅寒雪日內集（《世說新語‧言語第二》）
27,劉義慶 - 白雪紛紛何所以,王勃 - 滕王閣序
28,陶弘景 - 答謝中書書（節錄）,李白 - 春夜宴桃李園序
29,魏收 - 折箭,韓愈 - 師說
30,李白 - 春夜宴從弟桃花園序,韓愈 - 馬說（一作雜說四）
31,韓愈 - 雜說四,劉禹錫 - 陋室銘
32,劉禹錫 - 陋室銘,柳宗元 - 捕蛇者說
33,白居易 - 荔枝圖序,柳宗元 - 始得西山宴遊記
34,柳宗元 - 哀溺文序（節錄）,杜牧 - 阿房宮賦
35,敦煌變文 - 閔子騫童年,范仲淹 - 岳陽樓記
36,歐陽修 - 誨學,歐陽修 - 醉翁亭記
37,歐陽公事迹 - 畫荻,歐陽修 - 秋聲賦
38,周敦頤 - 愛蓮說,蘇洵 - 六國論
39,沈括 - 摸鐘,周敦頤 - 愛蓮說
40,蘇軾 - 記承天寺夜遊,王安石 - 讀孟嘗君傳
41,天讜 - 口鼻眼眉爭辯,蘇軾 - 前赤壁賦
42,朱熹 - 熟讀精思,宋史 - 岳飛之少年時代
43,范公偁 - 名落孫山,宋濂 - 送東陽馬生序
44,周密 - 浙江之潮,劉基 - 賣柑者言
45,宋濂 - 送東陽馬年序（節錄）,王守仁 - 教條示龍場諸生
46,周怡 - 勉諭兒輩,歸有光 - 項脊軒志
47,朱柏廬 - 朱子家訓（節錄）,袁宏道 - 滿井遊記
48,陳仁錫 - 鐵杵磨針,顧炎武 - 廉恥
49,彭端淑 - 為學（節錄）,方苞 - 左忠毅公軼事
50,錢泳 - 要做則做,龔自珍 - 病梅館記
