分类,篇名,作者/編者/譯者,出處
1,曲突徙薪<br>（節錄《漢書‧霍光傳》，由「客有過主人者」起至「終亡火患」止）,班固,漢書
1,西門豹治鄴,褚少孫,史記
1,鳥說,戴名世,南山集
1,遺大夫種書,范蠡,暫時從缺
1,樂羊子妻<br>（節錄《後漢書‧列女傳》，由「河南樂羊子之妻者」起至「羊子感其言，復還終業」止）,范曄,後漢書
1,漁家傲（塞下秋來風景異）,范仲淹,范文正公集
1,祖逖傳,房喬,晉書
1,杯弓蛇影<br>（節錄《晉書‧樂廣傳》，由「嘗有親客」起至「沉疴頓愈」止）,房玄齡等,晉書
1,蝙蝠,馮夢龍,笑府
1,羊裘在念,浮白齋主人,雅謔
1,宋定伯捉鬼,干寶,搜神記
1,與友人書,顧炎武,日知錄
1,廉恥,顧炎武,亭林詩文集
1,項脊軒志,歸有光,詳註語譯古文觀止新編
1,漢世老人<br>（節錄，由「漢世有人，年老無子」起至「貨財充於內帑矣」止）,邯鄲淳,太平廣記
1,守株待兔<br>（節錄《韓非子‧五蠧》，由「宋人有耕者」起至「而身為宋國笑」止）,韓非,韓非子
1,老馬識途<br>（節錄《韓非子‧說林上》，由「管仲、隰朋從於桓公而伐孤竹」起至「不亦過乎」止）,韓非,韓非子
1,自相矛盾<br>（節錄《韓非子‧難一》，由「人有鬻矛與楯者」起至「為名不可兩立也」止）,韓非,韓非子
1,扁鵲見蔡桓公<br>（節錄《韓非子‧喻老》，由「扁鵲見蔡桓公」起至「桓侯遂死」止）,韓非,韓非子
1,曾子殺豬明不欺<br>（節錄《韓非子‧外儲說左上》，由「曾子之妻之市」起至「遂烹彘也」止）,韓非,韓非子
1,馬說（雜說四）,韓愈,韓昌黎集
1,丁一士,紀昀,閱微草堂筆記
1,老學究,紀昀,閱微草堂筆記
1,為官者儉則可以養廉,康熙,庭訓格言
1,小國寡民<br>（節錄《道德經》第八十章，由「小國寡民」起至「民至老死不相往來」止）,老子,道德經
1,少年中國說,梁啟超,梁任公文存
1,亡鈇<br>（節錄《列子‧說符》，由「人有亡鈇者」起至「動作態度無似竊鈇者」止）,列子,列子
1,杞人憂天<br>（節錄《列子》，由「杞國有人」起至「曉之者亦舍然大喜」止）,列子,列子
1,兩小兒辯日<br>（節錄《列子‧湯問》，由「孔子東游」起至「孰為汝多知乎？」止）,列子,列子
1,愚公移山<br>（節錄《列子‧湯問》，由「太形、王屋二山」起至「漢之陰，無隴斷焉」止）,列子,列子
1,湖之魚,林紓,畏廬文集
1,口技,林嗣環,虞初新志
1,女媧補天<br>（節錄《淮南子‧覽冥訓》，由「往古之時」起至「顓民生」止）,劉安,淮南子
1,塞翁失馬<br>（節錄《淮南子‧人間訓》，由「近塞上之人」起至「父子相保」止）,劉安,淮南子
1,大明湖,劉鶚,老殘遊記
1,明湖居聽書,劉鶚,老殘遊記
1,賣柑者言,劉基,誠意伯集
1,救虎,劉基,郁離子
1,蜀賈賣藥<br>（節錄，由「蜀賈三人皆賣藥於市」起至「今之為士者亦若是夫」止）,劉基,郁離子
1,說虎,劉基,郁離子
1,習慣說,劉蓉,養晦堂詩文集
1,緹縈救父,劉向,列女傳
1,葉公好龍<br>（節錄《新序》，由「子張見魯哀公，七日而哀公不禮」起至「『中心藏之，何日忘之！』敢托而去」止）,劉向,新序
1,狐假虎威<br>（節錄《戰國策‧楚策》，由「虎求百獸而食之」起至「以為畏狐也」止）,劉向,戰國策
1,唐雎說信陵君<br>（節錄《戰國策‧魏策》，由「信陵君殺晉鄙」起至「無忌謹受教」止）,劉向,戰國策
1,陳軫為齊說昭陽<br>（節錄《戰國策‧齊策》「昭陽為楚伐魏」至「昭陽以為然，解軍而去」）,劉向,戰國策
1,曾參殺人<br>（節錄《戰國策‧秦策二》，由「昔者曾子處費」起至「投杼逾垣而走」止）,劉向,戰國策
1,鄒忌諷齊王納諫<br>（節錄《戰國策‧齊策》，由「鄒忌脩八尺有餘」起至「此所謂戰勝於朝廷」止）,劉向,戰國策
1,蘇代止趙王伐燕<br>（節錄《戰國策‧燕策》，由「趙且伐燕」起至「惠王曰：『善。』乃止」止）,劉向,戰國策
1,小時了了（《世說新語‧言語第二》）,劉義慶,世說新語
1,荀巨伯遠看友人疾（《世說新語‧德行第一》）,劉義慶,世說新語
1,管寧華歆共園中鋤菜（《世說新語‧德行第一》）,劉義慶,世說新語
1,謝太傅寒雪日內集（《世說新語‧言語第二》）,劉義慶,世說新語
1,鍾毓兄弟小時（《世說新語‧言語第二》）,劉義慶,世說新語
1,鍾毓鍾會少有令譽（《世說新語‧言語第二》）,劉義慶,世說新語
1,三戒（並序）,柳宗元,柳河東集
1,去私<br>（節錄《呂氏春秋》，由「晉平公問於祈黃羊曰」起至「祈黃羊可謂公矣」止）,呂不韋,呂氏春秋
1,刻舟求劍<br>（節錄《呂氏春秋‧察今》，由「楚人有涉江者」起至「豈不難哉？」止）,呂不韋,呂氏春秋
1,殷長者<br>（節錄《呂氏春秋》，由「武王入殷」起至「已以此告王矣」止）,呂不韋,呂氏春秋
1,二子學弈<br>（節錄《孟子‧告子上》，由「弈秋，通國之善弈者也」起至「曰：『非然也』」止）,孟子,孟子
1,天時不如地利章<br>（節錄《孟子‧公孫丑下》，由「天時不如地利」起至「故君子有不戰，故必勝矣」止）,孟子,孟子
