時代,課名,作者,95學年暫行/99學年綱要（四十篇）,101學年/103學年微調版本（三十篇）,108年版普通高中（十五篇）,108年版技术/综合高中
**先秦**, , , , , , 
 ,燭之武退秦師,《左傳》,1,1,1,◎
 ,大同小康,《禮記》,2,2,2, 
 ,孫子選,《孫子》,3, , , 
 ,勸學,《荀子》,4,4, , 
 ,諫逐客書,李斯,5,6,3, 
 ,漁父,屈原,6,5, , 
 ,馮諼客孟嘗君,《戰國策》,7,3, , 
 ,庖丁解牛,《莊子》, , , ,◎
**漢魏六朝**, , , , , , 
 ,過秦論,賈誼,8, , , 
 ,鴻門宴,司馬遷,9,7,4, 
 ,答夫秦嘉書,徐淑,10, , , 
 ,典論論文,曹丕,11,8, , 
 ,登樓賦,王粲,12, , , 
 ,出師表,諸葛亮,13,9,5, 
 ,桃花源記,陶淵明,14,11,6,◎
 ,世說新語選<br>（「詠絮之才」、「坦腹東床」、「殷仲堪儉食」、「絕妙好辭」）,劉義慶,15,12, ,◎
 ,蘭亭集序,王羲之,16,10, ,◎
 ,與陳伯之書,丘遲, ,13, , 
**唐宋**, , , , , , 
 ,諫太宗十思疏,魏徵, ,14, , 
 ,春夜宴從弟桃花園序,李白,17, , , 
 ,師說,韓愈,18,15,7,◎
 ,始得西山宴遊記,柳宗元,19,16, , 
 ,唐傳奇選（虯髯客傳）,杜光庭,20,17,8, 
 ,岳陽樓記,范仲淹,21,18, ,◎
 ,醉翁亭記,歐陽修,22,19, , 
 ,訓儉示康,司馬光,23, , , 
 ,傷仲永,王安石,24, , , 
 ,赤壁賦,蘇軾,25,20,9,◎
 ,上樞密韓太尉書,蘇轍,26, , , 
 ,夢溪筆談選<br>（「乾曲面鏡成像」、「乾式船塢」、「以工代賑」、「磁針指南」、「物態研判」）,沈括,27, , ,◎
 ,種樹郭橐駝傳,柳宗元, , , ,◎
**明清**, , , , , , 
 ,郁離子選<br>（「魯般」、「鄙人學蓋」）,劉基,28,21, ,◎
 ,指喻,方孝孺,29, , , 
 ,項脊軒志,歸有光,30,22,11, 
 ,晚遊六橋待月記,袁宏道,31,23,10, 
 ,原君,黃宗羲,32,24, , 
 ,廉恥,顧炎武,33,25, , 
 ,聊齋志異選（勞山道士）,蒲松齡,34,27,12, 
 ,左忠毅公逸事,方苞,35,26, , 
 ,病梅館記,龔自珍,36, , , 
 ,《天工開物》<br>（「舟車」緒言、「膏液」緒言、「殺青」緒言）,宋應星, , , ,◎
 ,《紅樓夢》─〈賈探春敏慧興利〉,曹霑, , , ,◎
**臺灣古典散文**, , , , , , 
 ,東番記,陳第,37, , , 
 ,紀水沙漣（東征集）,藍鼎元,38, , , 
 ,裨海紀遊選,郁永河,39,28, , 
 ,台灣通史序,連橫,40,30, , 
 ,勸和論,鄭用錫, ,29,13, 
 ,鹿港乘桴記,洪繻, , ,14, 
 ,畫菊自序,張李德和, , ,15, 
 ,臺煤減稅片,沈葆楨, , , ,◎
 ,清代臺灣鐵路買票收費章程,《臺陽見聞錄》, , , ,◎
