单元	序号	课文	页码
我上学了			
		我是中国人	2
		我爱我们的祖国	4
		我是小学生	6
		我爱学语文	7
			
第一单元·识字			
	1	天地人	8
	2	金木水火土	9
	3	口耳目手足	11
	4	日月山川	13
	◎	语文园地一	15
	◎	快乐读书吧 读书真快乐	19
			
第二单元·汉语拼音			
	1	a o e	20
	2	i u ü	22
	3	b p m f	24
	4	d t n l	26
	◎	语文园地二	28
			
第三单元·汉语拼音			
	5	g k h	32
	6	j q x	34
	7	z c s	36
	8	zh ch sh r	38
	9	y w	40
	◎	语文园地三	42
			
第四单元·汉语拼音			
	10	ai ei ui	45
	11	ao ou iu	47
	12	ie üe er	49
	13	an en in un ün	51
	14	ang eng ing ong	54
	◎	语文园地四	56
			
第五单元·阅读			
	1	秋天	60
	2	江南	62
	3	雪地里的小画家	64
	4	四季	66
	◎	语文园地五	68
			
第六单元·识字			
	5	对韵歌	73
	6	日月明	74
	7	小书包	76
	8	升国旗	78
	◎	语文园地六	80
			
第七单元·阅读			
	5	小小的船	84
	6	影子	86
	7	两件宝	88
	◎	语文园地七	90
			
第八单元·阅读			
	8	比尾巴	95
	9	乌鸦喝水	97
	10	雨点儿	99
	◎	语文园地八	101
			
附录			
		识字表	105
		写字表	108
		笔画名称表	109
		常用偏旁名称表	110
