单元	分类	序号	课文	页码
第一单元				1
	阅读			
		1	大青树下的小学	2
		2	花的学校	5
		3*	不懂就要问	7
	口语交际		我的暑假生活	9
	习作		猜猜他是谁	10
		◎	语文园地	11
				
第二单元				13
	阅读			
		4	古诗三首	14
			望洞庭	14
			山行	14
			夜书所见	15
		5	铺满金色巴掌的水泥道	16
		6	秋天的雨	19
		7*	听听，秋的声音	22
	习作		写日记	24
		◎	语文园地	25
				
第三单元				27
	阅读			
		8	总也倒不了的老屋	28
		9*	犟龟	32
		10*	小狗学叫	36
	口语交际		名字里的故事	41
	习作		续写故事	42
		◎	语文园地	43
				
第四单元				45
	阅读			
		11	宝葫芦的秘密（节选）	46
		12	在牛肚子里旅行	49
		13*	一块奶酪	52
	习作		我来编童话	54
		◎	语文园地	55
		◎	快乐读书吧 在那奇妙的王国里	57
				
第五单元				59
	阅读			
		14	搭船的鸟	60
		15	金色的草地	62
	习作		我们眼中的缤纷世界	65
		例文		
			我家的小狗	66
			我爱故乡的杨梅	67
				
第六单元				69
	阅读			
		16	富饶的西沙群岛	70
		17	海滨小城	73
		18	美丽的小兴安岭	75
		19*	香港，璀璨的明珠	78
	习作		这儿真美	80
		◎	语文园地	81
				
第七单元				83
	阅读			
		20	古诗三首	84
			鹿柴	84
			望天门山	84
			饮湖上初晴后雨	85
		21	大自然的声音	86
		22	读不完的大书	89
	口语交际		身边的“小事”	91
	习作		我有一个想法	92
		◎	语文园地	93
				
第八单元				95
	阅读			
		23	司马光	96
		24	一定要争气	97
		25	手术台就是阵地	100
		26*	一个粗瓷大碗	103
	口语交际		请教	105
	习作		那次经历真难忘	106
		◎	语文园地	107
				
附录				
			识字表	109
			写字表	112
			词语表	114
