单元	序号	课文	页码
第一单元·阅读			
	1	小蝌蚪找妈妈	1
	2	我是什么	5
	3	植物妈妈有办法	8
	◎	语文园地一	11
	◎	快乐读书吧 读读童话故事	15
			
第二单元·识字			
	1	场景歌	16
	2	树之歌	18
	3	拍手歌	20
	4	田家四季歌	23
	◎	语文园地二	25
			
第三单元·阅读			
	4	彩虹	28
	5	去外婆家	30
	6	数星星的孩子	32
	◎	语文园地三	35
			
第四单元·阅读			
	7	古诗二首	39
		登鹳雀楼	39
		望庐山瀑布	40
	8	黄山奇石	42
	9	日月潭	45
	10	葡萄沟	47
	◎	语文园地四	50
			
第五单元·阅读			
	11	坐井观天	54
	12	寒号鸟	56
	13	我要的是葫芦	60
	◎	语文园地五	63
			
第六单元·阅读			
	14	八角楼上	67
	15	朱德的扁担	69
	16	难忘的泼水节	72
	17	刘胡兰	75
	◎	语文园地六	78
			
第七单元·阅读			
	18	古诗二首	81
		江雪	81
		敕勒歌	82
	19	雾在哪里	84
	20	雪孩子	87
	◎	语文园地七	91
			
第八单元·阅读			
	21	称赞	95
	22	纸船和风筝	98
	23	快乐的小河	101
	◎	语文园地八	104
			
附录			
		识字表	108
		写字表	113
		词语表	116
