单元	分类	序号	课文	文章	作者	页码
第一单元	活动·探究					1
	任务一	新闻阅读				2
		1	消息二则		毛泽东	3
				我三十万大军胜利南渡长江		
				人民解放军百万大军横渡长江		
		2	中国人首次进入自己的空间站		余建斌 吴月辉 刘诗瑶	6
		3	首届诺贝尔奖颁发			8
		4	“飞天”凌空——跳水姑娘吕伟夺魁记		夏浩然 樊云芳	10
		5	一着惊海天——目击我国航母舰载战斗机首架次成功着舰		蔡年迟 蒲海洋	12
		6	国行公祭，为佑世界和平		钟声	15
	任务二	新闻采访				17
	任务三	新闻写作				19
						
第二单元						23
	阅读	7	藤野先生		鲁迅	24
		8	回忆鲁迅先生（节选）		萧红	32
		9	※ 天上有颗“南仁东星”		王宏甲	40
		10	※ 美丽的颜色		艾芙·居里	48
		阅读综合实践				53
	写作		学写传记			54
	整本书阅读		《红星照耀中国》	怎样读红色经典作品		57
						
第三单元						61
	阅读	11	三峡		郦道元	62
		12	短文二篇			64
				答谢中书书	陶弘景	
				记承天寺夜游	苏轼	
		13	※ 与朱元思书		吴均	67
		14	唐诗五首			69
				野望	王绩	
				黄鹤楼	崔颢	
				使至塞上	王维	
				渡荆门送别	李白	
				钱塘湖春行	白居易	
		阅读综合实践				73
	写作		学习描写景物			74
	专题学习活动		人无信不立			77
	课外古诗词诵读					81
				庭中有奇树	《古诗十九首》	
				龟虽寿	曹操	
				赠从弟（其二）	刘桢	
				梁甫行	曹植	
						
第四单元						83
	阅读	15	背影		朱自清	84
		16	白杨礼赞		茅盾	88
		17	※ 散文二篇			92
				永久的生命	严文井	
				我为什么而活着	罗素	
		18	※ 昆明的雨		汪曾祺	96
		阅读综合实践				101
	写作		语言要连贯			103
	整本书阅读		《红岩》			106
						
第五单元						107
	阅读	19	中国石拱桥		茅以昇	108
		20	苏州园林		叶圣陶	113
		21	※ 人民英雄永垂不朽——瞻仰首都人民英雄纪念碑		周定舫	117
		22	※ 梦回繁华		毛宁	125
		阅读综合实践				129
	写作		说明事物要抓住特征			131
	专题学习活动		身边的文化遗产			135
						
第六单元						143
	阅读	23	《孟子》三章			144
				得道多助，失道寡助		
				富贵不能淫		
				生于忧患，死于安乐		
		24	愚公移山		《列子》	148
		25	※ 周亚夫军细柳		司马迁	151
		26	诗词五首			154
				饮酒（其五）	陶渊明	
				春望	杜甫	
				雁门太守行	李贺	
				赤壁	杜牧	
				渔家傲（天接云涛连晓雾）	李清照	
		阅读综合实践				158
	写作		表达要得体			160
	课外古诗词诵读					163
				浣溪沙（一曲新词酒一杯）	晏殊	
				采桑子（轻舟短棹西湖好）	欧阳修	
				相见欢（金陵城上西楼）	朱敦儒	
				如梦令（常记溪亭日暮）	李清照	
