单元	序号	课文	作者	页码
第一单元				1
	1	社会历史的决定性基础	恩格斯	2
	2	（毛泽东选文两篇）		
		改造我们的学习	毛泽东	7
		人的正确思想是从哪里来的？	毛泽东	13
	3	实践是检验真理的唯一标准	《光明日报》特约评论员	15
	4	（哲学选文两篇）		
		※ 修辞立其诚	张岱年	23
		※ 怜悯是人的天性	卢梭	25
	5	※ 人应当坚持正义	柏拉图	30
	单元研习任务			35
				
第二单元				37
	6	（鲁迅杂文两篇）			
		记念刘和珍君	鲁迅	38
		※ 为了忘却的记念	鲁迅	43
	7	包身工	夏衍	52
	8	（革命小说三篇）		
		荷花淀	孙犁	61
		※ 小二黑结婚（节选）	赵树理	66
		※ 党费	王愿坚	71
	单元研习任务			80
				
第三单元				81
	9	屈原列传	司马迁	82
	10	※ 苏武传	班固	87
	11	（史论两篇）		
		过秦论	贾谊	93
		※ 五代史伶官传序	欧阳修	96
	单元研习任务			99
				
第四单元				101
	12	玩偶之家（节选）	易卜生	102
	13	（外国诗歌四首）		
		迷娘（之一）	歌德	117
		致大海	普希金	118
		※ 自己之歌（节选）	惠特曼	122
		※ 树和天空	特朗斯特罗姆	123
	单元研习任务			124
				
古诗词诵读				126
		燕歌行并序	高适	126
		李凭箜篌引	李贺	128
		锦瑟	李商隐	129
		书愤	陆游	130
